#TIME 	I(ADC)	phi(deg)	Temperature(K)	vdemod(Vdac)
111.34686	36.55043	337.63352	0.54200	0.00322
111.75749	36.53212	337.62368	0.54214	0.00483
112.22708	36.53475	337.63860	0.54246	0.00322
112.68667	36.54033	337.62740	0.54329	0.00322
113.39447	36.53824	337.63632	0.54355	0.00322
113.89195	36.52299	337.65609	0.54410	0.00322
114.46127	36.53686	337.64687	0.54438	0.00322
114.82232	36.53370	337.64405	0.54473	0.00483
115.32998	36.53217	337.64029	0.54492	0.00322
115.94811	36.53113	337.64377	0.54558	0.00322
116.50684	36.52992	337.65701	0.54586	0.00322
117.04259	36.53787	337.64160	0.54628	0.00322
117.59805	36.52864	337.63308	0.54670	0.00483
118.02871	36.52943	337.63873	0.54736	0.00322
118.83954	36.53248	337.64484	0.54740	0.00322
119.40644	36.52424	337.63834	0.54815	0.00322
119.96684	36.52666	337.63536	0.54819	0.00322
120.54651	36.52581	337.63382	0.54886	0.00483
121.03370	36.52657	337.64004	0.54895	0.00322
121.76534	36.53013	337.64806	0.54945	0.00322
122.15093	36.53564	337.63760	0.54367	0.00483
122.76440	579.61806	315.65760	0.51985	0.00645
123.34077	1302.41138	277.16604	0.47152	0.00806
123.97561	890.89739	301.61867	0.45712	0.00806
124.29308	40.85412	337.44876	0.56449	0.00967
124.73244	36.51274	337.61886	0.59625	0.00806
125.20621	36.49683	337.66273	0.60447	0.00806
125.78860	36.49831	337.67297	0.60890	0.00806
126.51098	36.48469	337.68316	0.61103	0.00645
127.10316	36.49276	337.66722	0.61075	0.00645
127.42237	36.47975	337.68234	0.61033	0.00483
127.86130	36.48523	337.69556	0.60957	0.00483
128.36727	36.48412	337.70077	0.60885	0.00483
128.92018	36.48169	337.67925	0.60811	0.00483
129.69662	36.47878	337.68508	0.60712	0.00483
130.17705	36.48550	337.68585	0.60633	0.00483
130.77790	36.48984	337.69043	0.60582	0.00483
131.37609	36.49247	337.67988	0.60516	0.00322
132.17571	36.49266	337.69699	0.60460	0.00483
132.91777	36.47784	337.68724	0.60417	0.00483
133.40425	36.48688	337.69069	0.60320	0.00483
133.88610	36.49591	337.69849	0.60253	0.00483
134.43749	36.48194	337.67348	0.60052	0.00483
134.83972	36.49670	337.66758	0.59673	0.00483
135.33424	36.49174	337.67209	0.59039	0.00645
135.84649	36.50358	337.68071	0.57092	0.00806
136.37370	36.52164	337.66510	0.54542	0.00806
136.99714	42.25514	337.35750	0.52159	0.00806
137.46738	608.33381	314.41945	0.49060	0.00967
138.00991	1210.45053	284.16317	0.47181	0.00806
138.68171	296.87655	326.26746	0.47500	0.00806
139.03434	36.52261	337.62584	0.58142	0.00645
139.56041	36.49876	337.65489	0.59898	0.00645
140.20941	36.49459	337.67274	0.60851	0.00645
140.68410	36.48128	337.67167	0.61034	0.00645
141.18839	36.48654	337.68909	0.61067	0.00645
141.66753	36.48466	337.67800	0.61010	0.00645
142.05285	36.48912	337.69174	0.60889	0.00483
142.50137	36.48717	337.68041	0.60655	0.00645
142.93633	36.48992	337.68001	0.60308	0.00483
143.52461	36.49052	337.69699	0.59802	0.00645
144.04247	36.48634	337.68264	0.58999	0.00483
144.50959	36.50393	337.67600	0.58073	0.00483
145.06424	36.50149	337.67522	0.57062	0.00645
145.62818	36.50923	337.65334	0.56267	0.00806
146.11990	36.50998	337.67022	0.55123	0.01289
146.64004	36.51521	337.65503	0.54620	0.01450
147.10426	36.51485	337.65065	0.54238	0.01611
147.54752	36.52277	337.65022	0.54000	0.01772
148.17731	36.54762	337.63704	0.53748	0.01772
148.68939	36.58885	337.63009	0.53384	0.01772
149.14887	43.03368	337.33256	0.53128	0.01772
149.64524	114.98451	333.73311	0.52905	0.01611
150.18662	252.83956	328.03765	0.52497	0.01611
150.63936	369.94208	323.67420	0.52154	0.01450
151.24184	487.80690	319.32000	0.51792	0.01611
151.70644	598.26292	314.81120	0.51510	0.01289
152.33362	815.72716	305.16218	0.51166	0.01128
152.74477	931.49251	299.78930	0.50876	0.01289
153.19777	1023.67760	295.20344	0.50629	0.01128
153.69898	1106.80672	290.53782	0.50384	0.00967
154.29179	1186.16451	285.65075	0.50049	0.00967
154.80586	1240.02540	281.86195	0.49773	0.00806
155.52289	1299.49837	277.16577	0.49527	0.00967
156.23466	1342.28112	273.07533	0.49098	0.00806
156.70099	1365.31586	270.54988	0.48792	0.00967
157.18348	1385.40357	268.05394	0.48564	0.00806
157.64287	1400.26065	265.79081	0.48359	0.00806
158.16535	1415.95074	263.17197	0.48123	0.00645
158.57805	1425.87102	261.15101	0.47919	0.00806
159.09495	1435.78605	258.37002	0.47776	0.00645
159.54263	1443.01806	255.65191	0.47560	0.00645
160.21887	1450.09621	253.66827	0.47374	0.00645
160.77863	1455.24218	253.71572	0.47247	0.00483
161.42107	1460.25389	253.77504	0.47085	0.00483
161.95436	1464.95307	253.75837	0.46938	0.00645
162.69420	1471.33963	253.70709	0.46807	0.00483
163.12834	1476.28081	253.69520	0.46650	0.00645
163.53209	1479.80905	253.66466	0.46532	0.00645
164.11313	1484.29869	253.61100	0.46461	0.00483
164.57191	1488.33621	253.55927	0.46332	0.00483
165.09986	1492.34004	253.50659	0.46240	0.00645
165.60754	1414.00038	268.34515	0.46117	0.00645
166.01196	1304.16228	272.38094	0.46062	0.00645
166.66331	1294.88360	267.67912	0.45954	0.00483
167.11400	1344.37347	265.61360	0.45847	0.00645
167.56495	1129.24136	287.47554	0.44483	0.00645
168.06597	669.36507	287.22080	0.42655	0.00806
168.49489	389.57499	285.85119	0.40937	0.00806
169.22597	331.54056	230.67351	0.39654	0.00967
169.80586	359.80406	217.22840	0.38805	0.00806
170.37763	374.23154	190.65142	0.38100	0.00806
171.05588	375.27161	190.66438	0.37748	0.00806
171.42869	383.13320	187.49726	0.37497	0.00645
172.13120	427.45405	184.34536	0.37348	0.00645
172.62325	422.08102	190.33249	0.37210	0.00645
173.09813	391.37178	197.69060	0.37114	0.00806
173.74216	627.72137	252.93553	0.37080	0.00483
